Job Board,Post URL,Company Name,Industry,Location,Position/Title,Skills,Seniority Level,"Job Type (i,e. Remote, Hybrid, On Premise)",Minimum Years Experience
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,"Advanced statistics and modeling knowledge.

Strong data visualization skills (e.g., Tableau).

Programming skills in Python.

Detail-oriented, can identify and fix own bugs, and write code that runs efficiently.

Good experience with applying Big Data technologies (e.g., MapReduce, Hadoop, Spark) to large quantities of data.

Good experience using relational databases and SQL.",,,
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,"MSc/PhD in Computer Science or Engineering
8+ years of industry experience in the field of health sensing and health technologies
Experience building out ML infrastructure
Expert proficiency with ML and deep learning frameworks
Expert level Python, PyTorch and Tensorflow
Experience working with Signal Processing and Time-Series Data",,Remote,
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),"Master’s Degree in related discipline preferred (math, physics, finance, economics), or a bachelor's degree in the fields listed (or equally quantitative field).
Minimum three years of experience in credit risk analytics, including model development, underwriting strategies, and reporting/analytics.
Advanced proficiency with statistical analytical packages such as Python, SAS, Spark, Stata, MATLAB, Tableau, and/or R, and SQL required. Python is a hard requirement.
Experience with loss forecasting, credit underwriting, default management and credit risk modeling, reporting and analytics to include credit scoring models that produce Probability of Default.
Familiarity with credit scoring modeling techniques including logistic regression, multivariate analysis, and Monte Carlo (and more advanced ML algorithms).
Excellent analytical and problem solving skills.
Proficient verbal and written communication skills to effectively communicate and provide customer service required.
Ability to communicate complex issues/ideas with clarity, and implications to Deserve strategy and value creation.
Ability to interact with management officials at all levels, as well as other risk, product, and finance management personnel throughout Deserve.
Ability to analyze and reconcile large volume of data so that it can be summarized and eventually used for management decisions.",Mid-Senior level,Remote,
LinkedIn,https://www.linkedin.com/jobs/view/3504973318,Booz Allen Hamilton, IT Services and IT Consulting,"Columbia, MD","Data Scientist, Mid","Experience with quantitative analysis or modeling
Experience developing requirements and building statistical or simulation models
Experience with scripting or scientific languages and software, including Python, R, MATLAB, @RISK, ARENA, or SAS
TS/SCI clearance with a polygraph
Bachelor’s degree
Experience with Free Open-Source Software and Commercial Off-The Self Software products in statistics, Monte Carlo or discrete event simulation, Extract, Transform, and Load processes, and quantitative workflow automation
Experience working in Windows and Linux OS environments
Ability to consult with non-technical audiences on technical problems, work in a highly collaborative, team-oriented environment, and balance long- and short-term tasking
Ability to take poorly defined problems and convert them into questions for which practical quantitative solutions can be defined
Ability to be flexible, take initiative, and innovate to succeed in an ambiguous and fast-paced environment, composing client deliverable quality documentation, analysis, and reports
Ability to be detail-oriented and organized
Possession of excellent verbal and written communication skills
Master's degree preferred; Doctorate degree a plus",,,
LinkedIn,https://www.linkedin.com/jobs/view/3513273647,PayPal,"Technology, Information and Internet","San Jose, CA",Data Scientist,"Design, develop and maintain data-driven solutions for PayPal consumer risk management. Makes sound decisions that balance risk, user experience and financial performance.

 Develop automated system/process and algorithms that could streamline strategy/solution building process and generate good business results.

 Identify and address problems and issues during normal course of work and respond to risk mitigation needs quickly to solve issues.

 Develop and automate tracking functionality that monitors volume and solution efficacy. Regularly evaluate and communicate performance of solutions to management.

 Participate in the formulations and implementation of departmental processes, procedures, policies and standards.

 Exercise judgment in selecting methods, techniques and evaluation criteria for obtaining results on matters of significance to the business.

 Look for improvement and innovation opportunities with business impact. Provide a source of high quality ideas.

Job Requirements:

 Strong in analytics and problem solving. Experienced with predicative modeling, data mining and analytical tool. Proficient with SQL, SAS, Python, Unix etc.

 Proven experience in employing analytics solution on real world problems.

 Good business sense and logical thinking. Ability to synthesize information and generalize the pattern.

 Proven ability to work proficiently on well-defined projects; Focuses primarily on how to achieve overall business objectives of a project with speed and quality

 Effective inter-personal skills. Manage relationship with key partners. Able to collaborate with remote teams effectively.

 Skilled in Presenting – can effectively communicate in large or small group settings.",,,3 yeara
LinkedIn,https://www.linkedin.com/jobs/view/3512035346,Sam's Club,Retail,"Dallas, TX",Principal Data Scientist,"Experience in the development of large-scale production systems, Knowledge of Search, information retrieval and ranking systems
6 years+ of experience in applied machine learning, familiar with one or more of the algorithms such as Collaborative Filtering, Matrix Factorization, Factorization Machines, Word2vec, Deep Neural Networks, Wide and Deep etc
Skilled in Programming language (Python, Java, R or Scala) and Large-scale training using data structures and algorithms
Extensive experience with machine learning and deep learning packages (scikit-learn, lightGBM, Tensorflow or PyTorch).
Experience with cloud environments including Azure, Google Cloud, etc.
Solid MLOps practices including good design documentation, unit testing, integration testing and source code control (git).
Experienced with agile methodologies using project planning and tracking management tools e.g., JIRA
Naturally curious on how things work and excited by solving challenges at the scale of a Fortune 1 Retailer.",Entry level,,
LinkedIn,https://www.linkedin.com/jobs/view/3509680654,Warner Bros. Discovery,Entertainment Providers,"Culver City, CA",Principal Data Scientist,"Technical education in Computer Science, Statistics, Physics, Mathematics, and other quantitative fields (Masters/Phd preferred).
Has 10+ years of relevant hands-on experience in machine learning algorithm development and research with a track record of processing, enriching, and extracting value from large datasets.
The candidate demonstrates strong problem-solving and interpersonal skills.
Strong mathematical skills and familiarity with standard statistical methods including commonly used supervised and unsupervised ML techniques.
Experience with user representation learning techniques, deep learning techniques and sequence modeling (in particular language models) is strongly preferred.
Experience using advanced ML topics such as deep Learning, Bandits, Probabilistic Graphical Models, Reinforcement Learning, optimization algorithms preferred.
Proficiency with the following technologies and frameworks is a plus: Spark, Pytorch, TensorFlow, Scikit-Learn, Snowflake, Python",Entry level,On-Site,
LinkedIn,https://www.linkedin.com/jobs/view/3505987135,Fidelity Investments,Financial Services,"Boston, MA",Principal Data Scientist,"PhD in Computer Science with extensive research papers on Natural Language Processing, OR Master’s Degree in Computer Science, Statistics, Data Science or similar technical discipline with at least 5 years relevant professional experience
Deep understanding of Machine Learning & Deep Learning algorithms
Knowledge of most of the following quantitative fields: Natural Language Processing, Information Retrieval, Machine Comprehension, Question Answering/Conversational AI, Reinforcement Learning, Knowledge Graph, Causal Inference, and Design of Experiment
Statistical and data science programming skills, such as Python and R
Experience in Big Data, search, NLP, and chatbot technologies such as Elasticsearch and Solr
Knowledge of Deep Learning and related tools such as TensorFlow, Keras, MXNET, or H2O is preferred
Experience deploying NLP solutions in a commercial environment",,Hybrid,
LinkedIn,https://www.linkedin.com/jobs/view/3504938999,T-Mobile,Telecommunications,"Atlanta, GA",Principal Data Scientist,"Excellent knowledge of ML algorithms (e.g., Linear Regression, Logistic Regression, Clustering/Segmentation, Decision Tree, Random Forest Algorithm, GBM, Naive Bayes, Support Vector Machines, Deep Neural Networks (DNN), Convolutional Neural Networks (CNN), Recurrent Neural Networks (RNN), Long Short Term Memory (LSTM) networks, Transformers, etc.)
Expertise in applying statistical, advanced analytics, machine learning, and/or AI, deep learning concepts, and techniques to solve business problems. Strong programming skills using Python, SQL, PySpark
Expertise in one or more areas among Natural Language Processing (NLP), deep learning, recommender systems, and related fields is highly preferred.
Experience with Python libraries such as Pandas, NumPy, SciPy, Scikit-Learn
Strong analytical, critical-thinking skills with demonstrated ability to identify/analyze/synthesize data and use the data to drive decisions
Superior communication and persuasion skills with executives and non-technical stakeholders, talent for storytelling, visualization, and creating insights from data to deliver practical recommendations for business action
Good knowledge of calculus, linear algebra, statistics, and probability",Entry level,,
LinkedIn,https://www.linkedin.com/jobs/view/3507107670,Deloitte,Business Consulting and Services,"Denver, CO",Senior Data Scientist,"Design, develop and apply state-of-the-art methods within AI and machine learning, including the utilization of GANs, CNNs, RNNs, LSTMs, BERT, and other models to solve complex problems
Act as an AI thought leader, including the creation of whitepapers, presentations, executive briefings, reports, and other materials to support AI solutions and services
Guide federal clients with high autonomy in AI strategy and development, including understanding agency needs, performing exploratory data analysis, building and validating models, and deploying models into both on-prem and cloud environments
Act as a subject matter expert to GPS clients and global AI partner ecosystem
Iterate on and/or create repeatable, reusable processes and scalable data systems that meet technical and deployment challenges
Maintain and uphold data science best practices on new methodologies, technologies, industry trends, and open source packages
Work cross-functionally with other scientists & data engineers, federal account manager and leadership to help ensure project delivery and success",,Hybrid,
